"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","34.125","-118.4122","384.0","2007-03-05","70",",,U","90","H,,U","59","H,,U"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","34.125","-118.4122","384.0","2007-03-06","71",",,U","89","H,,U","61","H,,U"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","34.125","-118.4122","384.0","2007-03-07","66",",,U","86","H,,U","52","H,,U"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","34.125","-118.4122","384.0","2007-03-08","60",",,U","78","H,,U","50","H,,U"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","34.125","-118.4122","384.0","2007-03-09","57",",,U","73","H,,U","48","H,,U"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","34.125","-118.4122","384.0","2007-03-10","63",",,U","80","H,,U","47","H,,U"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","34.125","-118.4122","384.0","2007-03-11","80",",,U","97","H,,U","65","H,,U"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","34.125","-118.4122","384.0","2007-03-12","80",",,U","100","H,,U","67","H,,U"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","34.125","-118.4122","384.0","2007-03-13","71",",,U","90","H,,U","51","H,,U"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","34.125","-118.4122","384.0","2007-03-14","61",",,U","79","H,,U","50","H,,U"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","34.125","-118.4122","384.0","2007-03-15","62",",,U","83","H,,U","47","H,,U"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","34.125","-118.4122","384.0","2007-03-16","67",",,U","88","H,,U","51","H,,U"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","34.125","-118.4122","384.0","2007-03-17","59",",,U","80","H,,U","48","H,,U"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","34.125","-118.4122","384.0","2007-03-18","56",",,U","70","H,,U","52","H,,U"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","34.125","-118.4122","384.0","2007-03-19","57",",,U","72","H,,U","50","H,,U"
